Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
Je-Vaughn Watson,2016,D,NE,23,19,1705,1,1,0.05,0.05,1,0,1,0,1,0,110004.0,115837.33,2
Je-Vaughn Watson,2017,D,NE,18,8,766,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,155666.67,0
Jean-Martial Kipre,2007,D-M,RSL,18,16,1427,0,0,0.0,0.0,0,0,0,0,0,0,30000.0,30000.0,0
Jeb Brovsky,2011,D,VAN,24,16,1509,0,1,0.0,0.06,0,0,0,0,1,0,42000.0,42000.0,1
Jeb Brovsky,2012,D,MTL,28,25,2233,0,1,0.0,0.04,0,0,0,0,1,0,33750.0,33750.0,1
Jeb Brovsky,2013,D,MTL,31,30,2700,2,2,0.07,0.07,0,0,1,1,2,0,160000.0,168000.0,4
Jed Zayner,2007,D,CLB,2,0,20,0,0,0.0,0.0,0,0,0,0,0,0,33000.0,40500.0,0
Jed Zayner,2008,D,CLB,6,2,200,0,0,0.0,0.0,0,0,0,0,0,0,72600.0,87600.0,0
Jed Zayner,2009,D,CLB,20,16,1467,0,1,0.0,0.06,0,0,0,0,0,1,79860.0,94860.0,1
Jeff Curtin,2007,D,CHI,3,3,248,1,0,0.36,0.0,0,0,1,0,0,0,25800.0,25800.0,1
Jeff Larentowicz,2017,M,ATL,34,31,2722,1,1,0.03,0.03,0,0,1,0,0,1,350016.0,350016.0,2
Jeff Parke,2010,D,SEA,21,21,1747,0,1,0.0,0.05,0,0,0,0,1,0,199999.92,199999.92,1
Jeff Parke,2011,D,SEA,30,30,2567,1,0,0.04,0.0,1,0,1,0,0,0,273000.0,273000.0,1
Jeff Parke,2012,D,SEA,34,33,2928,0,1,0.0,0.04,0,1,0,0,1,0,370650.0,370650.0,1
Jeff Parke,2013,D,PHI,31,31,2744,0,1,0.0,0.03,0,0,0,0,1,0,205000.0,216500.0,1
Jeff Rowland,2008,F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,17700.0,17700.0,0
Jelle Van Damme,2016,D,LA,31,31,2736,0,5,0.0,0.44999999999999996,0,2,0,0,4,1,850000.0,937500.0,5
Jeremy Ebobisse,2017,F,POR,16,2,425,1,3,0.28,0.85,0,1,0,1,1,2,260000.0,346000.0,4
Jeremy Gagnon-Lapare,2014,M,MTL,5,3,270,0,0,0.0,0.0,0,0,0,0,0,0,36504.0,40504.0,0
Jeremy Gagnon-Lapare,2015,M,MTL,2,0,18,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,128000.0,0
Jeremy Gagnon-Lapare,2016,M,MTL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,103000.0,103000.0,0
Jeremy Hall,2011,D-M,DAL,21,19,1715,0,3,0.0,0.16,0,0,0,0,1,2,160000.0,258000.0,3
Jeremy Hall,2012,D-M,TOR,23,19,1708,1,0,0.05,0.0,0,0,0,1,0,0,100000.0,149000.0,1
